event_id,date,city,zone,raw_text,trigger_label,confidence,is_disruption,mm_rainfall,window_start,window_end
EVT010026,2025-12-10,Kolkata,Dum Dum,"traffic is moderate, weather is okay right now heard rain in another kolkata area but not here protest talk is floating around in Kolkata but no hard road closure yet #riderlife",normal,0.92,0,0.55,12:00,13:00
EVT004748,2025-10-17,Bengaluru,HSR Layout,HSR Layout side roads are moving fine and orders are normal Bengaluru warning looked scary but this pocket is fine,normal,0.92,0,2.24,18:00,19:00
EVT005690,2025-09-01,Bengaluru,Koramangala,delivery status people keep saying rain issue but this pocket is functioning for this slot,normal,0.92,0,2.22,18:00,19:00
EVT011817,2025-10-11,Chennai,Kelambakkam,alert looked scary earlier but this stretch is clear now around 12:00,normal,0.92,0,0.42,12:00,13:00
EVT000543,2025-11-27,Kolkata,Howrah,delivery status heat is there but still manageable on bike at the moment protest talk is floating around in Kolkata but no hard road closure yet,normal,0.92,0,1.23,12:00,13:00
EVT003112,2025-10-29,Kolkata,Garia,"morning run only a light drizzle, nothing serious for deliveries right now #chennai Kolkata warning looked scary but this pocket is honestly fine",normal,0.92,0,1.06,00:00,01:00
EVT009899,2025-08-09,Kolkata,Sealdah,kolkata ops update roads are moving fine and orders are normal temperature is high though still workable,normal,0.92,0,0.27,06:00,07:00
EVT014131,2025-12-16,Kolkata,Tollygunge,waterlogging in Tollygunge streets are shiny with water and the next run feels risky since 0 pm,heavy_rain,0.94,1,42.62,00:00,01:00
EVT012737,2025-11-01,Kolkata,Salt Lake,"evening shift some dark clouds but no disruption so far right now very hot, still not enough to disrupt the shift",normal,0.92,0,1.29,18:00,19:00
EVT010280,2025-08-06,Mumbai,Powai,Powai side alert looked scary earlier but this stretch is honestly clear now for this slot,normal,0.92,0,1.57,12:00,13:00
EVT001767,2025-07-11,Mumbai,Dadar,alert looked scary earlier but this stretch is honestly clear now at the moment #chennai,normal,0.92,0,0.98,06:00,07:00
EVT006082,2025-09-25,Kolkata,Howrah,"evening shift bandh rumours are false, shops are open right now",normal,0.92,0,0.68,06:00,07:00
EVT014197,2025-11-01,Mumbai,Andheri,"customers think the app is down but the main issue is outside, not full disaster, but this has gone beyond a normal shower",heavy_rain,0.93,1,42.29,18:00,19:00
EVT007697,2025-12-09,Chennai,Kathankulathur,"delivery status bandh rumours are false, shops are open for this slot protest talk is floating around in Chennai but no hard road closure yet #chennai",normal,0.92,0,1.94,00:00,01:00
EVT004636,2025-10-25,Mumbai,Vashi,mumbai ops update some dark clouds but no disruption so far right now,normal,0.92,0,1.72,12:00,13:00
EVT015025,2025-10-29,Mumbai,Vashi,"ndma emergency advisory water entering shops, this has turned severe very quickly service outage risk is high",extreme_rain,0.9,1,69.47,12:00,13:00
EVT008830,2025-12-05,Kolkata,Park Street,"imd note bandh rumours are false, shops are open right now",normal,0.92,0,0.0,06:00,07:00
EVT007143,2025-07-16,Bengaluru,Yelahanka,heat is there but still manageable on bike temperature is high though still workable,normal,0.92,0,0.16,12:00,13:00
EVT000100,2025-07-17,Chennai,Sholinganallur,"imd note only a light drizzle, nothing serious for deliveries around 18:00",normal,0.92,0,2.1,18:00,19:00
EVT006206,2025-11-04,Kolkata,Behala,"kolkata ops update only a light drizzle, nothing serious for deliveries around 12:00 heard rain in another kolkata area but not here #chennai",normal,0.92,0,2.06,12:00,13:00
EVT007705,2025-10-20,Kolkata,Tollygunge,"Tollygunge side alert looked scary earlier but this stretch is clear now for this slot warning exists, ground reality here is mostly okay",normal,0.92,0,0.86,18:00,19:00
EVT014936,2025-11-11,Kolkata,Howrah,field escalation absolute cloudburst conditions with multiple streets blocked in Howrah looks worse on ground than the alert text suggests,extreme_rain,0.91,1,136.23,06:00,07:00
EVT000829,2025-08-14,Kolkata,Salt Lake,delivery status alert oloked scary earlier but this stretch is clear now Kolkata warning looked scary but this pocket is fine,normal,0.92,0,2.05,06:00,07:00
EVT012026,2025-09-03,Chennai,Guduvanchery,"Guduvanchery side alert looked scary earlier but this stretch is clear now around 18:00 warning exists, ground reality here is mostly okay",normal,0.92,0,0.48,18:00,19:00
EVT003352,2025-07-29,Bengaluru,Electronic City,"evening shift roads are moving fine and orders are normal for this slot warning exists, ground reality here is mostly okay",normal,0.92,0,1.89,06:00,07:00
EVT001651,2025-07-29,Bengaluru,Indiranagar,morning run humid weather but service is running smoothly at the moment minor slowdown only,normal,0.92,0,0.77,12:00,13:00
EVT009212,2025-09-14,Mumbai,Thane,"morning run cloudy sky, no flooding reported in the area right now saw water in another mumbai lane but here it is still rideable",normal,0.92,0,1.37,12:00,13:00
EVT003060,2025-07-30,Bengaluru,BTM Layout,"imd note bandh rumours are false, shops are open at the moment",bandh,0.69,1,1.23,06:00,07:00
EVT010169,2025-12-25,Mumbai,Ghatkopar,"Ghatkopar side cloudy sky, no flooding reported in the area",normal,0.92,0,2.1,00:00,01:00
EVT011441,2025-08-26,Mumbai,Borivali,"Borivali side traffic is moderate, weather is okay for this slot",normal,0.92,0,1.57,06:00,07:00
EVT010126,2025-11-18,Chennai,Anna Nagar,imd note roads are moving fine and orders are normal for this slot,normal,0.92,0,1.52,12:00,13:00
EVT012488,2025-11-14,Bengaluru,BTM Layout,"traffic is moderate, weather is okay at the moment minor slowdown only warning exists, ground reality here is mostly okay",normal,0.92,0,1.41,06:00,07:00
EVT002885,2025-07-14,Chennai,Siruseri,Siruseri side heat is there but still manageable on bike for this slot minor slowdown only,normal,0.92,0,0.31,18:00,19:00
EVT006181,2025-10-20,Kolkata,Garia,"morning run people keep saying rain issue but this pocket is functioning at the moment warning exists, ground reality here is mostly okay",normal,0.92,0,1.27,06:00,07:00
EVT007460,2025-09-23,Bengaluru,Electronic City,"delivery status bandh rumours are false, shops are open for this slot",normal,0.92,0,1.99,12:00,13:00
EVT015449,2025-12-27,Mumbai,Vashi,rider health note the road surface itself feels hot enough to throw heat back at you by 6 PM #chennai,heat_wave,0.74,1,0.0,18:00,19:00
EVT012509,2025-08-21,Chennai,Guduvanchery,delivery status some dark clouds but no disruption so far for this slot,normal,0.92,0,0.69,18:00,19:00
EVT005577,2025-08-06,Kolkata,Esplanade,"morning run bandh rumours are false, shops are open around 6:00 heard rain in another kolkata area but not here",normal,0.92,0,1.99,06:00,07:00
EVT010769,2025-09-10,Chennai,Kelambakkam,imd note people keep saying rain issue but this pocket is honestly functioning for this slot heard rain in another chennai area but not here,normal,0.92,0,2.21,12:00,13:00
EVT012878,2025-09-27,Bengaluru,Jayanagar,"morning run bandh rumours are false, shops are open around 0:00",normal,0.92,0,1.35,00:00,01:00
EVT015110,2025-12-13,Bengaluru,Koramangala,"police diversion note autos, bikes and dark-store movement slowed because of protest action heard drums and slogans nearby",bandh,0.83,1,0.0,00:00,01:00
EVT015209,2025-09-20,Bengaluru,HSR Layout,bengaluru shutdown update feels like a shutdown even though weather itself is manageable around 6 PM,bandh,0.87,1,0.0,18:00,19:00
EVT007835,2025-08-14,Bengaluru,Jayanagar,"cloudy sky, no flooding reported in the area for this slot",normal,0.92,0,0.48,18:00,19:00
EVT008359,2025-12-06,Kolkata,Dum Dum,evening shift humid weather but service is honestly running smoothly minor slowdown only,normal,0.92,0,2.12,18:00,19:00
EVT009459,2025-12-27,Kolkata,Sealdah,"bandh rumours are false, shops are open for this slot #delivery",normal,0.92,0,1.78,06:00,07:00
EVT009812,2025-10-01,Kolkata,Park Street,morning run some dark clouds but no disruption so far,normal,0.92,0,1.31,00:00,01:00
EVT007325,2025-08-14,Bengaluru,Electronic City,"delivery status cloudy sky, no flooding reported in the area saw water in another bengaluru lane but here it is still rideable",normal,0.92,0,2.2,12:00,13:00
EVT006661,2025-12-07,Kolkata,Dum Dum,imd note people keep saying rain issue but this pocket is functioning for this slot saw water in another kolkata lane but here it is still rideable,normal,0.92,0,0.48,18:00,19:00
EVT003108,2025-08-17,Bengaluru,Whitefield,"evening shift cloudy sky, no flooding reported in the area",normal,0.92,0,0.62,18:00,19:00
EVT010262,2025-08-06,Chennai,Perambur,alert looked scary earlier but this stretch is clear now around 0:00 #delivery,normal,0.92,0,1.09,00:00,01:00
EVT006408,2025-12-01,Kolkata,Park Street,delivery status roads are moving fine and orders are normal for this slot,normal,0.92,0,1.25,18:00,19:00
EVT011720,2025-08-10,Mumbai,Chembur,mumbai ops update people keep saying rain issue but this pocket is functioning,normal,0.92,0,0.32,06:00,07:00
EVT005195,2025-12-02,Chennai,Adyar,evening shift people keep saying rain issue but this pocket is honestly functioning at the moment heard rain in another chennai area but not here,normal,0.92,0,1.47,06:00,07:00
EVT013055,2025-11-11,Mumbai,Chembur,heat is there but still manageable on bike around 6:00,normal,0.92,0,0.81,06:00,07:00
EVT000340,2025-12-14,Bengaluru,Jayanagar,evening shift alert looked scary earlier but this stretch is clear now for this slot,normal,0.92,0,1.48,00:00,01:00
EVT002930,2025-10-20,Bengaluru,Marathahalli,"bengaluru ops update traffic is moderate, weather is okay around 12:00 saw water in another bengaluru lane but here it is still rideable",normal,0.92,0,0.96,12:00,13:00
EVT004404,2025-10-04,Kolkata,Tollygunge,"imd note cloudy sky, no flooding reported in the area right now warning exists, ground reality here is mostly okay",normal,0.92,0,1.19,06:00,07:00
EVT005675,2025-08-16,Kolkata,Park Street,"people keep saying rain issue but this pocket is honestly functioning right now warning exists, ground reality here is mostly okay",normal,0.92,0,1.91,06:00,07:00
EVT007413,2025-12-15,Kolkata,Garia,kolkata ops update heat is there but still manageable on bike for this slot,normal,0.92,0,1.07,06:00,07:00
EVT008747,2025-12-08,Mumbai,Andheri,"delivery status bandh rumours are false, shops are open right now #riderlife",normal,0.92,0,0.9,12:00,13:00
EVT012292,2025-12-09,Kolkata,Esplanade,"humid weather but service is running smoothly around 0:00 very hot, still not enough to disrupt the shift",normal,0.92,0,0.1,00:00,01:00
EVT009215,2025-10-17,Chennai,Anna Nagar,delivery status people keep saying rain issue but this pocket is functioning at the moment,normal,0.92,0,1.76,12:00,13:00
EVT010885,2025-10-19,Kolkata,Park Street,"morning run traffic is moderate, weather is okay",normal,0.92,0,1.59,18:00,19:00
EVT001091,2025-11-06,Kolkata,Behala,"traffic is moderate, weather is okay around 6:00",normal,0.92,0,1.87,06:00,07:00
EVT010687,2025-10-17,Chennai,Guduvanchery,"evening shift traffic is moderate, weather is okay right now minor slowdown only",normal,0.92,0,1.47,12:00,13:00
EVT011276,2025-07-16,Mumbai,Bandra,"mumbai ops update cloudy sky, no flooding reported in the area around 18:00",normal,0.92,0,2.21,18:00,19:00
EVT005805,2025-11-09,Chennai,Urapakkam,"chennai ops update traffic is moderate, weather is okay saw water in another chennai lane but here it is still rideable",normal,0.92,0,0.14,06:00,07:00
EVT000863,2025-10-24,Kolkata,Howrah,kolkata ops update humid weather but service is running smoothly at the moment saw water in another kolkata lane but here it is still rideable,normal,0.92,0,0.98,00:00,01:00
EVT011603,2025-10-31,Kolkata,Park Street,imd note humid weather but service is running smoothly for this slot saw water in another kolkata lane but here it is still rideable,normal,0.92,0,0.42,18:00,19:00
EVT010973,2025-07-08,Bengaluru,Marathahalli,bengaluru ops update alert looked scary earlier but this stretch is clear now right now,normal,0.92,0,0.48,00:00,01:00
EVT003502,2025-10-15,Mumbai,Powai,evening shift humid weather but service is running smoothly around 12:00,heat_wave,0.64,1,2.32,12:00,13:00
EVT002158,2025-10-07,Kolkata,Esplanade,evening shift some dark clouds but no disruption so far for this slot,normal,0.92,0,1.65,12:00,13:00
EVT015097,2025-10-28,Mumbai,Powai,"police diversion note bandh impact visible, traffic diverted and very few orders coming in heard drums and slogans nearby",bandh,0.86,1,0.0,18:00,19:00
EVT005693,2025-10-16,Chennai,Adyar,morning run people keep saying rain issue but this pocket is functioning at the moment,normal,0.92,0,2.21,06:00,07:00
EVT011986,2025-07-31,Kolkata,Salt Lake,"kolkata ops update only a light drizzle, nothing serious for deliveries right now minor slowdown only",normal,0.92,0,1.34,18:00,19:00
EVT014242,2025-09-17,Chennai,Anna Nagar,"chennai weather alert steady downpour, hard to complete orders #delivery",heavy_rain,0.84,1,20.35,18:00,19:00
EVT002120,2025-10-10,Chennai,T Nagar,evening shift people keep saying rain issue but this pocket is functioning right now #chennai saw water in another chennai lane but here it is still rideable #chennai,normal,0.92,0,1.8,18:00,19:00
EVT008444,2025-10-15,Bengaluru,Koramangala,"cloudy sky, no flooding reported in the area",normal,0.92,0,2.04,18:00,19:00
EVT003283,2025-10-14,Bengaluru,Electronic City,"morning run humid weather but service is honestly running smoothly #chennai very hot, still not enough to disrupt the shift",normal,0.92,0,1.5,12:00,13:00
EVT015129,2025-10-23,Kolkata,Salt Lake,"field ops alert roadblock near the signal, delivery fleet is waiting roads themselves are open in parts but movement is still choked",bandh,0.8,1,0.0,12:00,13:00
EVT005283,2025-12-03,Chennai,T Nagar,"delivery status only a light drizzle, nothing serious for deliveries right now",normal,0.92,0,1.14,12:00,13:00
EVT002141,2025-10-29,Kolkata,Sealdah,"evening shift traffic is moderate, weather is okay",normal,0.92,0,2.26,12:00,13:00
EVT002944,2025-08-01,Bengaluru,Marathahalli,delivery status humid weather but service is running smoothly at the moment Bengaluru warning looked scary but this pocket is fine,normal,0.92,0,1.56,12:00,13:00
EVT000736,2025-09-06,Kolkata,New Town,New Town side alert looked scary earlier but this stretch is clear now,normal,0.92,0,1.06,18:00,19:00
EVT012217,2025-08-10,Chennai,Sholinganallur,chennai ops update roads are moving fine and orders are normal at the moment,normal,0.92,0,1.01,12:00,13:00
EVT006088,2025-07-15,Chennai,Anna Nagar,Anna Nagar side roads are moving fine and orders are normal for this slot,normal,0.92,0,2.08,00:00,01:00
EVT009471,2025-12-11,Kolkata,Tollygunge,delivery status roads are moving fine and orders are normal at the moment Kolkata warning looked scary but this pocket is fine,normal,0.92,0,1.86,06:00,07:00
EVT009629,2025-07-04,Mumbai,Ghatkopar,delivery status alert looked scary earlier but this stretch is honestly clear now at the moment #delivery,normal,0.92,0,0.49,18:00,19:00
EVT005717,2025-09-05,Kolkata,Tollygunge,"imd note humid weather but service is honestly running smoothly very hot, still not enough to disrupt the shift",normal,0.92,0,0.98,12:00,13:00
EVT009691,2025-09-16,Bengaluru,Whitefield,Whitefield side humid weather but service is running smoothly right now #delivery,normal,0.92,0,1.19,18:00,19:00
EVT004292,2025-10-14,Mumbai,Vashi,delivery status people keep saying rain issue but this pocket is honestly functioning for this slot #chennai protest talk is floating around in Mumbai but no hard road closure yet #chennai,normal,0.92,0,0.19,12:00,13:00
EVT005606,2025-11-10,Mumbai,Dadar,mumbai ops update alert looked scary earlier but this stretch is clear now right now,normal,0.92,0,2.02,12:00,13:00
EVT005956,2025-08-18,Chennai,Chromepet,"cloudy sky, no flooding reported in the area",normal,0.92,0,1.68,12:00,13:00
EVT014107,2025-09-30,Mumbai,Chembur,Chembur getting hit badly surface water is building and even short routes are stretching around Chembur main road,heavy_rain,0.95,1,43.38,18:00,19:00
EVT011888,2025-11-28,Mumbai,Thane,delivery status some dark clouds but no disruption so far around 12:00 protest talk is floating around in Mumbai but no hard road closure yet,normal,0.92,0,2.17,12:00,13:00
EVT002958,2025-10-18,Chennai,Siruseri,"traffic is moderate, weather is okay heard rain in another chennai area but not here",normal,0.92,0,0.15,00:00,01:00
EVT001237,2025-11-30,Kolkata,Park Street,"imd note bandh rumours are false, shops are open",normal,0.92,0,1.86,12:00,13:00
EVT004046,2025-12-01,Mumbai,Chembur,imd note some dark clouds but no disruption so far for this slot temperature is high though still workable,normal,0.92,0,2.01,18:00,19:00
EVT000931,2025-12-06,Mumbai,Lower Parel,"evening shift only a light drizzle, nothing serious for deliveries right now",normal,0.92,0,1.72,06:00,07:00
EVT003469,2025-11-27,Bengaluru,Marathahalli,delivery status roads are moving fine and orders are normal at the moment,normal,0.92,0,0.28,00:00,01:00
EVT014634,2025-12-18,Kolkata,Esplanade,field escalation absolute cloudburst conditions with multiple streets blocked looks worse on ground than the alert text suggests,extreme_rain,0.9,1,129.42,18:00,19:00
EVT008744,2025-11-02,Bengaluru,Marathahalli,bengaluru ops update people keep saying rain issue but this pocket is functioning for this slot,normal,0.92,0,0.61,00:00,01:00
EVT011180,2025-12-05,Bengaluru,HSR Layout,bengaluru ops update humid weather but service is running smoothly around 18:00,normal,0.92,0,0.47,18:00,19:00
EVT005533,2025-07-05,Kolkata,Dum Dum,evening shift roads are moving fine and orders are normal #chennai,normal,0.92,0,1.14,18:00,19:00
EVT000380,2025-07-24,Mumbai,Powai,"imd note some dark clouds but no disruption so far right now #chennai warning exists, ground reality here is mostly okay",normal,0.92,0,0.38,00:00,01:00
EVT003475,2025-10-23,Mumbai,Dadar,"delivery status traffic is moderate, weather is okay around 0:00 protest talk is floating around in Mumbai but no hard road closure yet",normal,0.92,0,0.25,00:00,01:00
EVT009261,2025-12-22,Chennai,Potheri,"Potheri side only a light drizzle, nothing serious for deliveries around 0:00",normal,0.92,0,1.03,00:00,01:00
EVT005095,2025-12-24,Kolkata,Garia,"evening shift traffic is moderate, weather is okay around 0:00",normal,0.92,0,2.1,00:00,01:00
EVT008009,2025-08-07,Chennai,Kelambakkam,"imd note cloudy sky, no flooding reported in the area right now minor slowdown only",normal,0.92,0,0.21,18:00,19:00
EVT000128,2025-12-05,Bengaluru,Marathahalli,"delivery status cloudy sky, no flooding reported in the area right now Bengaluru warning looked scary but this pocket is fine",normal,0.92,0,0.06,12:00,13:00
EVT008297,2025-09-28,Mumbai,Chembur,imd note alert looked scary earlier but this stretch is clear now,normal,0.92,0,0.24,00:00,01:00
EVT013641,2025-10-15,Bengaluru,Indiranagar,"hard to tell if this becomes severe, bengaluru weather alert underpass is messy and delivery timing has slipped orders are moving slower than usual",heavy_rain,0.96,1,34.06,00:00,01:00
EVT012799,2025-12-17,Bengaluru,BTM Layout,"imd note bandh rumours are false, shops are open warning exists, ground reality here is mostly okay #chennai",normal,0.92,0,0.43,00:00,01:00
EVT007074,2025-11-11,Kolkata,Behala,kolkata ops update people keep saying rain issue but this pocket is functioning at the moment #riderlife,normal,0.92,0,0.72,12:00,13:00
EVT000124,2025-09-03,Bengaluru,Electronic City,"bengaluru ops update alert looked scary earlier but this stretch is clear now for this slot #delivery very hot, still not enough to disrupt the shift",normal,0.92,0,0.07,00:00,01:00
EVT012571,2025-11-19,Mumbai,Thane,Thane side heat is there but still manageable on bike,normal,0.92,0,0.69,18:00,19:00
EVT007457,2025-11-22,Mumbai,Bandra,mumbai ops update people keep saying rain issue but this pocket is honestly functioning right now #delivery,bandh,0.57,1,2.15,12:00,13:00
EVT008024,2025-10-30,Mumbai,Chembur,alert looked scary earlier but this stretch is honestly clear now,normal,0.92,0,0.81,00:00,01:00
EVT004231,2025-08-08,Bengaluru,Jayanagar,"imd note cloudy sky, no flooding reported in the area at the moment minor slowdown only",normal,0.92,0,0.37,18:00,19:00
EVT005050,2025-12-09,Chennai,Tambaram,alert looked scary earlier but this stretch is clear now,normal,0.92,0,1.46,18:00,19:00
EVT003022,2025-08-15,Chennai,Kathankulathur,"morning run cloudy sky, no flooding reported in the area for this slot #delivery",normal,0.92,0,0.27,06:00,07:00
EVT009000,2025-10-13,Chennai,Anna Nagar,morning run humid weather but service is running smoothly right now protest talk is floating around in Chennai but no hard road closure yet,normal,0.92,0,0.61,18:00,19:00
EVT014858,2025-07-29,Mumbai,Bandra,Bandra is getting slammed the whole stretch looks washed out and two-wheelers are backing off,extreme_rain,0.96,1,72.22,18:00,19:00
EVT007744,2025-08-08,Mumbai,Borivali,"mumbai ops update traffic is moderate, weather is okay around 12:00",normal,0.92,0,1.23,12:00,13:00
EVT013567,2025-12-18,Kolkata,Sealdah,waterlogging in Sealdah surface water is building and even short routes are stretching since 11 pm,heavy_rain,0.92,1,50.49,12:00,13:00
EVT009377,2025-08-24,Mumbai,Dadar,"delivery status bandh rumours are false, shops are open for this slot minor slowdown only protest talk is floating around in Mumbai but no hard road closure yet",normal,0.92,0,2.26,18:00,19:00
EVT006988,2025-10-07,Kolkata,Sealdah,"evening shift only a light drizzle, nothing serious for deliveries right now",normal,0.92,0,2.06,12:00,13:00
EVT008655,2025-09-03,Mumbai,Powai,delivery status people keep saying rain issue but this pocket is functioning right now,normal,0.92,0,0.66,18:00,19:00
EVT000020,2025-08-22,Bengaluru,Jayanagar,evening shift some dark clouds but no disruption so far right now #riderlife,normal,0.92,0,0.02,06:00,07:00
EVT011044,2025-08-01,Kolkata,Esplanade,evening shift people keep saying rain issue but this pocket is functioning around 12:00,normal,0.92,0,0.75,12:00,13:00
EVT011414,2025-10-27,Bengaluru,Whitefield,some dark clouds but no disruption so far right now,normal,0.92,0,1.04,00:00,01:00
EVT011877,2025-11-01,Chennai,Sholinganallur,morning run heat is there but still manageable on bike for this slot #chennai,normal,0.92,0,2.06,18:00,19:00
EVT013045,2025-09-11,Kolkata,Esplanade,"Esplanade side only a light drizzle, nothing serious for deliveries for this slot Kolkata warning looked scary but this pocket is fine",normal,0.92,0,0.55,00:00,01:00
EVT013167,2025-11-18,Bengaluru,Whitefield,rider update streets are shiny with water and the next run feels risky please avoid low-lying lanes,heavy_rain,0.79,1,59.24,18:00,19:00
EVT002817,2025-12-30,Chennai,Perambur,"delivery status cloudy sky, no flooding reported in the area around 0:00",normal,0.92,0,1.21,00:00,01:00
EVT014295,2025-11-20,Bengaluru,HSR Layout,"hard to tell if this becomes severe, customers are calling nonstop not full disaster, but this has gone beyond a normal shower since 17 pm",heavy_rain,0.84,1,30.63,18:00,19:00
EVT001548,2025-11-13,Mumbai,Chembur,delivery status alert looked scary earlier but this stretch is clear now at the moment temperature is high though still workable,normal,0.92,0,0.56,06:00,07:00
EVT011820,2025-07-02,Mumbai,Bandra,mumbai ops update humid weather but service is running smoothly for this slot,normal,0.92,0,0.53,18:00,19:00
EVT004996,2025-09-13,Chennai,Chromepet,Chromepet side humid weather but service is running smoothly,normal,0.92,0,0.13,12:00,13:00
EVT000089,2025-09-26,Kolkata,Salt Lake,kolkata ops update some dark clouds but no disruption so far for this slot heard rain in another kolkata area but not here #chennai,normal,0.92,0,1.17,06:00,07:00
EVT002185,2025-11-25,Chennai,Chromepet,"morning run only a light drizzle, nothing serious for deliveries around 12:00",normal,0.92,0,0.28,12:00,13:00
EVT013666,2025-11-05,Bengaluru,Jayanagar,waterlogging in Jayanagar visibility is poor and bikes are slowing down since 17 pm,heavy_rain,0.82,1,58.49,18:00,19:00
